filepath,Block,Prolongation,SoundRep,WordRep,Interjection,NoStutteredWords
clips/clips/M_1023_11y3m_1_dysfluent_000.wav,0,0,0,0,1,0
clips/clips/M_1023_11y3m_1_dysfluent_001.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_002.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_003.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_004.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_005.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_006.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_007.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_008.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_009.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_010.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_011.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_012.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_013.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_014.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_015.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_016.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_017.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_018.wav,0,0,0,0,1,0
clips/clips/M_1023_11y3m_1_dysfluent_019.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_020.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_021.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_022.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_023.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_024.wav,0,0,0,0,1,0
clips/clips/M_1023_11y3m_1_dysfluent_025.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_026.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_027.wav,1,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_028.wav,1,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_029.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_030.wav,0,0,0,0,1,0
clips/clips/M_1023_11y3m_1_dysfluent_031.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_032.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_033.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_dysfluent_034.wav,0,0,1,0,0,0
clips/clips/M_1023_11y3m_1_fluent_000.wav,0,0,0,0,0,1
clips/clips/M_1023_11y3m_1_fluent_001.wav,0,0,0,0,0,1
clips/clips/M_1023_11y3m_1_fluent_002.wav,0,0,0,0,0,1
clips/clips/M_1023_11y3m_1_fluent_003.wav,0,0,0,0,0,1
clips/clips/M_1023_11y3m_1_fluent_004.wav,0,0,0,0,0,1
